trial	score	n_ents	n_rels	n_tws	n_quads	n_unique_triples	avg_degree	deg_p25	deg_p75	real_n_ents	real_n_rels	real_n_tws	real_n_quads	real_n_unique_triples	real_avg_degree	real_deg_p25	real_deg_p75	relerr_n_ents	absdiff_n_ents	relerr_n_rels	absdiff_n_rels	relerr_n_tws	absdiff_n_tws	relerr_n_quads	absdiff_n_quads	relerr_n_unique_triples	absdiff_n_unique_triples	relerr_avg_degree	absdiff_avg_degree	relerr_deg_p25	absdiff_deg_p25	relerr_deg_p75	absdiff_deg_p75	pat_distr_ents	pat_distr_rels	cfg_n_ents	cfg_n_rels	cfg_n_tws	n_1_hop	n_2_hop	n_3_hop	rnd_avg_density	p_skip_consequence	use_force_distr	p_force	n_force	force_binom_n	force_binom_p
0	22.255266197320662	3837	157	365	605206	167964	315.45790982538443	2.0	12.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.4617003367003367	-3291.0	0.3173913043478261	-73.0	0.0	0.0	5.670406701201367	514476.0	2.339576498657918	117669.0	11.39162339488229	290.0005585346998	1.0	1.0	0.2	2.0	zipf(s=1.7,q=0.5)	gamma(0.5,1.0)	7128	230	365	117	235	94	0	0	False	0.7000000000000001	2	None	None
1	105.70810279153908	7124	218	365	670111	637785	188.12773722627736	58.0	221.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0005611672278338945	-4.0	0.05217391304347826	-12.0	0.0	0.0	6.385770968808552	579381.0	11.680882791529973	587490.0	6.3899179485776765	162.67038593559275	57.0	57.0	21.1	211.0	lognorm(mu=0,s=1.0)	negbin(r=2.0,p=0.25)	7128	230	365	195	294	123	0	0	False	0.35000000000000003	3	None	None
2	45.96317531948335	7023	170	365	1155091	547067	328.9451801224548	8.0	38.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.014730639730639731	-105.0	0.2608695652173913	-60.0	0.0	0.0	11.731081230023145	1064361.0	9.877164728104185	496772.0	11.92142204294532	303.4878288317702	7.0	7.0	2.8	28.0	zipf(s=1.4,q=1.0)	zipf(s=1.2,q=1.0)	7128	230	365	284	96	164	0	0	False	0.55	5	None	None
3	203.93616042096474	6801	194	365	1799642	1559631	529.2286428466402	65.0	698.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.045875420875420875	-327.0	0.1565217391304348	-36.0	0.0	0.0	18.83513722032404	1708912.0	30.009662988368625	1509336.0	19.788833716581347	503.7712915559556	64.0	64.0	68.8	688.0	gamma(0.5,1.0)	lognorm(mu=0,s=1.0)	7128	230	365	252	46	171	0	0	False	0.7500000000000001	5	None	None
4	25.679073740905977	7128	203	365	90803	90327	25.477833894500563	20.0	31.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0	0.0	0.11739130434782609	-27.0	0.0	0.0	0.0008045850325140527	73.0	0.7959439308082314	40032.0	0.0008045850325141221	0.020482603815938916	19.0	19.0	2.1	21.0	uniform	negbin(r=2.0,p=0.25)	7128	230	365	300	152	49	0	0	False	0.2	1	None	None
5	75.16517013962617	6575	147	365	590230	588769	179.53764258555134	27.0	237.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.07758136924803591	-553.0	0.36086956521739133	-83.0	0.0	0.0	5.50534553069547	499500.0	10.706312754746993	538474.0	6.052487139588945	154.08029129486673	26.0	26.0	22.7	227.0	gamma(0.5,1.0)	gamma(0.5,1.0)	7128	230	365	178	118	95	0	0	False	0.7500000000000001	2	None	None
6	60.35970905028306	7033	223	365	535128	532137	152.17631167353903	24.0	151.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.013327721661054994	-95.0	0.030434782608695653	-7.0	0.0	0.0	4.898027113413424	444398.0	9.580316134804653	481842.0	4.977696184332559	126.7189603828544	23.0	23.0	14.1	141.0	lognorm(mu=0,s=1.4)	pareto(a=1.3,xm=1.0)	7128	230	365	378	242	128	0	0	False	0.15000000000000002	5	None	None
7	246.90993382050772	7128	115	365	1489126	1474489	417.824354657688	135.0	505.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0	0.0	0.5	-115.0	0.0	0.0	15.412719056541386	1398396.0	28.31681081618451	1424194.0	15.412719056541386	392.36700336700335	134.0	134.0	49.5	495.0	lognorm(mu=0,s=1.0)	zipf(s=1.7,q=0.5)	7128	230	365	230	260	147	0	0	False	0.7000000000000001	4	None	None
8	189.85379469104183	7127	164	365	901578	901028	253.0035077872878	119.0	340.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.00014029180695847364	-1.0	0.28695652173913044	-66.0	0.0	0.0	8.936933759506227	810848.0	16.914862312357094	850733.0	8.938328025503072	227.54615649660317	118.0	118.0	33.0	330.0	gamma(2,2)	zipf(s=1.2,q=1.0)	7128	230	365	166	288	41	0	0	False	0.4	5	None	None
9	13.36703181052628	2806	185	365	291864	103495	208.02851033499644	2.0	9.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.606341189674523	-4322.0	0.1956521739130435	-45.0	0.0	0.0	2.2168411771189245	201134.0	1.057759220598469	53200.0	7.171647865468173	182.57115904431183	1.0	1.0	0.1	-1.0	zipf(s=1.7,q=0.5)	lognorm(mu=0,s=1.0)	7128	230	365	86	126	187	0	0	False	0.6500000000000001	1	None	None
10	195.21366666155674	7128	178	365	1197141	1195698	335.89814814814815	105.75	403.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0	0.0	0.22608695652173913	-52.0	0.0	0.0	12.194544252176788	1106411.0	22.773695198329854	1145403.0	12.194544252176788	310.4407968574635	104.75	104.75	39.3	393.0	lognorm(mu=0,s=1.0)	empirical	7128	230	365	154	251	186	0	0	False	0.9500000000000001	2	None	None
11	71.94898219505045	7128	135	365	227924	227916	63.951739618406286	56.0	72.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0	0.0	0.41304347826086957	-95.0	0.0	0.0	1.5121128623388074	137194.0	3.53158365642708	177621.0	1.5121128623388076	38.494388327721666	55.0	55.0	6.2	62.0	uniform	lognorm(mu=0,s=1.4)	7128	230	365	128	54	86	0	0	False	0.3	3	None	None
12	70.42725816988724	7128	127	365	366559	364984	102.85044893378226	42.0	139.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0	0.0	0.44782608695652176	-103.0	0.0	0.0	3.0401080127851867	275829.0	6.256864499453226	314689.0	3.0401080127851863	77.39309764309763	41.0	41.0	12.9	129.0	negbin(r=1.2,p=0.35)	lognorm(mu=0,s=1.4)	7128	230	365	26	216	6	0	0	False	0.35000000000000003	4	None	None
13	35.178571405080206	7100	218	365	232750	232433	65.56338028169014	19.0	76.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.003928170594837262	-28.0	0.05217391304347826	-12.0	0.0	0.0	1.5653036481869282	142020.0	3.6213937767173676	182138.0	1.5754203386304824	40.106028991005516	18.0	18.0	6.6	66.0	lognorm(mu=0,s=1.0)	negbin(r=2.0,p=0.25)	7128	230	365	351	156	185	0	0	False	0.2	2	None	None
14	14.763862093355863	7124	162	365	51908	51908	14.572711959573274	10.0	18.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0005611672278338945	-4.0	0.2956521739130435	-68.0	0.0	0.0	0.4278849333186377	-38822.0	0.032070782383934786	1613.0	0.4275637008275196	-10.88463933111135	9.0	9.0	0.8	8.0	uniform	zipf(s=1.2,q=1.0)	7128	230	365	249	148	60	0	0	False	0.15000000000000002	1	None	None
15	97.92556371444304	7127	162	365	423633	412553	118.88115616669005	66.0	157.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.00014029180695847364	-1.0	0.2956521739130435	-68.0	0.0	0.0	3.669161247657886	332903.0	7.202664280743613	362258.0	3.6698163846366505	93.42380487600542	65.0	65.0	14.7	147.0	gamma(3,1)	lognorm(mu=0,s=1.4)	7128	230	365	72	209	133	0	0	False	0.9000000000000001	1	None	None
16	51.89191572368712	7116	217	365	251658	251651	70.73018549747049	33.0	95.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0016835016835016834	-12.0	0.05652173913043478	-13.0	0.0	0.0	1.7737021933208421	160928.0	4.003499353812506	201356.0	1.778379600054941	45.27283420678586	32.0	32.0	8.5	85.0	gamma(2,2)	gamma(2,2)	7128	230	365	286	194	192	0	0	False	0.4	1	None	None
17	62.40646610763061	7037	216	365	573892	570531	163.10700582634647	24.0	155.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.012766554433221099	-91.0	0.06086956521739131	-14.0	0.0	0.0	5.32527278739116	483162.0	10.343692215926037	520236.0	5.40706898231124	137.64965453566185	23.0	23.0	14.5	145.0	lognorm(mu=0,s=1.4)	pareto(a=1.3,xm=1.0)	7128	230	365	396	230	76	0	0	False	0.3	3	None	None
18	256.3764777128776	7126	222	365	1215564	1215345	341.1630648330059	160.0	466.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0002805836139169473	-2.0	0.034782608695652174	-8.0	0.0	0.0	12.397597266615232	1124834.0	23.164330450342977	1165050.0	12.401357467924974	315.70571354232123	159.0	159.0	45.6	456.0	gamma(2,2)	negbin(r=1.2,p=0.35)	7128	230	365	387	240	137	0	0	False	0.5	4	None	None
19	352.12559224069224	7128	229	365	1052858	1052801	295.4147025813692	278.0	312.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0	0.0	0.004347826086956522	-1.0	0.0	0.0	10.604298467981925	962128.0	19.932518142956557	1002506.0	10.604298467981923	269.9573512906846	277.0	277.0	30.2	302.0	uniform	uniform	7128	230	365	312	114	126	0	0	False	0.7500000000000001	3	None	None
20	82.00243392319203	7128	190	365	431467	430427	121.06257014590348	49.0	160.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0	0.0	0.17391304347826086	-40.0	0.0	0.0	3.7555053455306955	340737.0	7.558047519634158	380132.0	3.7555053455306955	95.60521885521885	48.0	48.0	15.0	150.0	negbin(r=1.2,p=0.35)	lognorm(mu=0,s=1.0)	7128	230	365	96	144	176	0	0	False	0.9000000000000001	1	None	None
21	9.509934556075232	5356	185	365	54137	54134	20.21545929798357	4.0	26.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.24859708193041527	-1772.0	0.1956521739130435	-45.0	0.0	0.0	0.4033175355450237	-36593.0	0.07632965503529178	3839.0	0.2059087739665662	-5.241891992701053	3.0	3.0	1.6	16.0	gamma(0.5,1.0)	empirical	7128	230	365	268	109	82	0	0	False	0.15000000000000002	1	None	None
22	9.013645693129208	6675	186	365	37994	37993	11.383970037453183	4.0	16.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.06355218855218855	-453.0	0.19130434782608696	-44.0	0.0	0.0	0.581241044858371	-52736.0	0.2445968784173377	-12302.0	0.5528218977903323	-14.07338125323144	3.0	3.0	0.6	6.0	negbin(r=1.2,p=0.35)	empirical	7128	230	365	342	58	39	0	0	False	0.15000000000000002	1	None	None
23	8.809995809869433	6475	183	365	48008	48005	14.828725868725869	4.0	18.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.09161054994388328	-653.0	0.20434782608695654	-47.0	0.0	0.0	0.4708696131378816	-42722.0	0.0455313649468138	-2290.0	0.417507120069007	-10.628625421958755	3.0	3.0	0.8	8.0	lognorm(mu=0,s=1.0)	empirical	7128	230	365	195	84	81	0	0	False	0.15000000000000002	1	None	None
24	11.20089623878775	6669	154	365	59597	59593	17.87284450442345	6.0	22.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.06439393939393939	-459.0	0.33043478260869563	-76.0	0.0	0.0	0.3431389837980822	-31133.0	0.18486927129933392	9298.0	0.29792992600280854	-7.584506786261173	5.0	5.0	1.2	12.0	lognorm(mu=0,s=1.0)	lognorm(mu=0,s=1.4)	7128	230	365	208	29	116	0	0	False	0.1	2	None	None
