id	pattern	n_hops	instantiated_bindings_raw	instantiated_bindings_unique
0	(e1, 35, e2, t1) & (e1, 35, e3, t2=t1+(0, 3)) & (e2, 111, e3, t3=t2+(0, 2)) -> (e3, 190, e1, t4=t3+(1, 7))	3	0	0
1	(e1, 18, e2, t1) & (e3, 34, e1, t2=t1+(0, 1)) & (e4, 34, e3, t3=t2+(0, 1)) -> (e3, 34, e1, t4=t3+(1, 6))	3	0	0
2	(e1, 117, e2, t1) & (e2, 117, e3, t2=t1+(0, 5)) & (e1, 117, e2, t3=t2+(0, 3)) -> (e1, 117, e2, t4=t3+(1, 5))	3	0	0
3	(e1, 208, e2, t1) & (e2, 186, e3, t2=t1+(0, 7)) & (e2, 186, e4, t3=t2+(0, 10)) -> (e2, 208, e4, t4=t3+(1, 8))	3	0	0
4	(e1, 56, e2, t1) & (e1, 56, e3, t2=t1+(0, 3)) & (e1, 202, e4, t3=t2+(0, 6)) -> (e1, 91, e4, t4=t3+(1, 2))	3	0	0
5	(e1, 188, e2, t1) & (e3, 115, e2, t2=t1+(0, 5)) & (e2, 115, e1, t3=t2+(0, 4)) -> (e1, 188, e3, t4=t3+(1, 4))	3	0	0
6	(e1, 32, e2, t1) & (e3, 81, e1, t2=t1+(0, 7)) & (e2, 186, e3, t3=t2+(0, 3)) -> (e1, 186, e2, t4=t3+(1, 8))	3	0	0
7	(e1, 31, e2, t1) & (e2, 31, e1, t2=t1+(0, 3)) & (e1, 223, e3, t3=t2+(0, 1)) -> (e2, 31, e3, t4=t3+(1, 8))	3	0	0
8	(e1, 56, e2, t1) & (e3, 229, e2, t2=t1+(0, 5)) & (e2, 166, e1, t3=t2+(0, 4)) -> (e2, 229, e3, t4=t3+(1, 3))	3	0	0
9	(e1, 159, e2, t1) & (e3, 74, e2, t2=t1+(0, 4)) & (e2, 159, e4, t3=t2+(0, 7)) -> (e1, 42, e2, t4=t3+(1, 7))	3	0	0
10	(e1, 56, e2, t1) & (e2, 66, e1, t2=t1+(0, 4)) & (e3, 140, e2, t3=t2+(0, 7)) -> (e3, 140, e2, t4=t3+(1, 3))	3	0	0
11	(e1, 140, e2, t1) & (e2, 17, e3, t2=t1+(0, 3)) & (e4, 17, e2, t3=t2+(0, 8)) -> (e1, 17, e4, t4=t3+(1, 2))	3	0	0
12	(e1, 172, e2, t1) & (e3, 172, e2, t2=t1+(0, 6)) & (e2, 172, e4, t3=t2+(0, 2)) -> (e2, 32, e4, t4=t3+(1, 7))	3	0	0
13	(e1, 214, e2, t1) & (e3, 27, e2, t2=t1+(0, 5)) & (e4, 27, e2, t3=t2+(0, 9)) -> (e2, 180, e3, t4=t3+(1, 1))	3	0	0
14	(e1, 41, e2, t1) & (e2, 135, e3, t2=t1+(0, 2)) & (e4, 109, e2, t3=t2+(0, 5)) -> (e2, 135, e1, t4=t3+(1, 7))	3	0	0
15	(e1, 92, e2, t1) & (e2, 129, e3, t2=t1+(0, 5)) & (e1, 92, e3, t3=t2+(0, 7)) -> (e2, 92, e3, t4=t3+(1, 10))	3	0	0
16	(e1, 0, e2, t1) & (e1, 0, e3, t2=t1+(0, 7)) & (e3, 81, e4, t3=t2+(0, 5)) -> (e1, 0, e3, t4=t3+(1, 4))	3	0	0
17	(e1, 229, e2, t1) & (e1, 214, e3, t2=t1+(0, 4)) & (e4, 214, e1, t3=t2+(0, 11)) -> (e1, 229, e3, t4=t3+(1, 8))	3	0	0
18	(e1, 0, e2, t1) & (e3, 38, e1, t2=t1+(0, 3)) & (e1, 0, e2, t3=t2+(0, 4)) -> (e3, 0, e2, t4=t3+(1, 10))	3	0	0
19	(e1, 121, e2, t1) & (e1, 121, e3, t2=t1+(0, 4)) & (e3, 121, e4, t3=t2+(0, 9)) -> (e2, 73, e3, t4=t3+(1, 4))	3	0	0
20	(e1, 75, e2, t1) & (e1, 75, e2, t2=t1+(1, 8)) & (e2, 75, e3, t3=t2+(0, 2)) -> (e3, 67, e2, t4=t3+(1, 1))	3	0	0
21	(e1, 64, e2, t1) & (e2, 155, e3, t2=t1+(0, 5)) & (e4, 159, e3, t3=t2+(0, 9)) -> (e4, 64, e1, t4=t3+(1, 4))	3	0	0
22	(e1, 182, e2, t1) & (e3, 129, e1, t2=t1+(0, 8)) & (e2, 182, e3, t3=t2+(0, 3)) -> (e1, 129, e2, t4=t3+(1, 6))	3	0	0
23	(e1, 59, e2, t1) & (e3, 59, e1, t2=t1+(0, 4)) & (e1, 68, e4, t3=t2+(0, 7)) -> (e2, 22, e1, t4=t3+(1, 3))	3	0	0
24	(e1, 73, e2, t1) & (e2, 73, e1, t2=t1+(0, 9)) & (e3, 73, e2, t3=t2+(0, 3)) -> (e2, 73, e1, t4=t3+(1, 3))	3	0	0
25	(e1, 173, e2, t1) & (e3, 173, e1, t2=t1+(0, 4)) & (e3, 173, e4, t3=t2+(0, 3)) -> (e3, 173, e1, t4=t3+(1, 4))	3	0	0
26	(e1, 25, e2, t1) & (e2, 117, e3, t2=t1+(0, 2)) & (e4, 25, e2, t3=t2+(0, 6)) -> (e2, 80, e4, t4=t3+(1, 2))	3	0	0
27	(e1, 137, e2, t1) & (e1, 117, e3, t2=t1+(0, 7)) & (e1, 97, e2, t3=t2+(0, 3)) -> (e1, 117, e3, t4=t3+(1, 3))	3	0	0
28	(e1, 40, e2, t1) & (e2, 40, e3, t2=t1+(0, 3)) & (e2, 40, e4, t3=t2+(0, 6)) -> (e1, 80, e4, t4=t3+(1, 3))	3	0	0
29	(e1, 7, e2, t1) & (e3, 135, e2, t2=t1+(0, 1)) -> (e3, 7, e1, t3=t2+(1, 9))	2	0	0
30	(e1, 96, e2, t1) & (e3, 114, e1, t2=t1+(0, 3)) -> (e3, 114, e2, t3=t2+(1, 2))	2	0	0
31	(e1, 108, e2, t1) & (e3, 69, e2, t2=t1+(0, 4)) -> (e1, 108, e3, t3=t2+(1, 6))	2	0	0
32	(e1, 138, e2, t1) & (e3, 138, e1, t2=t1+(0, 5)) -> (e3, 138, e2, t3=t2+(1, 3))	2	0	0
33	(e1, 147, e2, t1) & (e2, 147, e3, t2=t1+(0, 6)) -> (e2, 147, e3, t3=t2+(1, 6))	2	0	0
34	(e1, 8, e2, t1) & (e3, 219, e1, t2=t1+(0, 4)) -> (e1, 219, e3, t3=t2+(1, 4))	2	0	0
35	(e1, 105, e2, t1) & (e2, 202, e1, t2=t1+(0, 4)) -> (e1, 202, e2, t3=t2+(1, 5))	2	0	0
36	(e1, 5, e2, t1) & (e3, 5, e1, t2=t1+(0, 9)) -> (e2, 121, e3, t3=t2+(1, 5))	2	0	0
37	(e1, 35, e2, t1) & (e2, 3, e1, t2=t1+(0, 4)) -> (e2, 3, e1, t3=t2+(1, 3))	2	0	0
